Subj,StimType,ConvDiv,Mfov,MonoReg,BinoReg,NumFade,TimePt,PropFade
S18,AR,div,40,4.5,35.5,1036,1496,0.692513368983957
S18,AR,div,40,4.5,35.5,962,1496,0.643048128342246
S18,AR,div,40,4.5,35.5,1047,1497,0.69939879759519
S18,AR,div,40,9,31,1464,1489,0.983210208193418
S18,AR,div,40,9,31,971,1492,0.650804289544236
S18,AR,div,40,4.5,35.5,876,1383,0.633405639913232
S18,AR,div,40,9,31,1017,1498,0.67890520694259
S18,AR,div,40,9,31,1075,1492,0.720509383378016
S19,oval,conv,30,4.5,25.5,738,1495,0.493645484949833
S19,oval,conv,30,9,21,1500,1500,1
S19,oval,conv,40,4.5,35.5,0,1500,0
S19,oval,conv,40,9,31,1500,1500,1
S19,oval,div,30,4.5,25.5,1500,1500,1
S19,oval,div,40,9,31,1484,1484,1
S19,oval,div,40,4.5,35.5,0,1500,0
S19,rect,conv,30,4.5,25.5,0,1500,0
S19,rect,conv,30,9,21,1500,1500,1
S19,rect,conv,40,4.5,35.5,0,1500,0
S19,rect,conv,40,9,31,1500,1500,1
S19,rect,div,30,4.5,25.5,1044,1481,0.704929101958136
S19,rect,div,30,9,21,1500,1500,1
S19,rect,div,40,9,31,1500,1500,1
S19,rect,div,40,4.5,35.5,1500,1500,1
S19,AR,conv,30,9,21,1500,1500,1
S19,AR,conv,30,4.5,25.5,685,1497,0.457581830327321
S19,AR,conv,30,9,21,1500,1500,1
S19,AR,conv,30,9,21,1293,1493,0.866041527126591
S19,AR,conv,30,4.5,25.5,677,1500,0.451333333333333
S19,AR,conv,30,4.5,25.5,0,1500,0
S19,AR,conv,30,9,21,1500,1500,1
S19,AR,conv,30,4.5,25.5,1500,1500,1
S19,AR,conv,30,4.5,25.5,1500,1500,1
S19,AR,conv,30,9,21,1500,1500,1
S19,AR,conv,40,4.5,35.5,1272,1486,0.855989232839839
S19,AR,conv,40,4.5,35.5,1500,1500,1
S19,AR,conv,40,9,31,362,1451,0.249483115093039
S19,AR,conv,40,4.5,35.5,1500,1500,1
S19,AR,conv,40,9,31,1500,1500,1
S19,AR,conv,40,4.5,35.5,1500,1500,1
S19,AR,conv,40,4.5,35.5,1500,1500,1
S19,AR,conv,40,9,31,1500,1500,1
